Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66062,2020,06,19,19.2,1,Y
IDCJAC0010,66062,2020,06,20,21.6,1,Y
IDCJAC0010,66062,2020,06,21,19.4,1,Y
IDCJAC0010,66062,2020,06,22,16.9,1,Y
IDCJAC0010,66062,2020,06,23,16.6,1,Y
IDCJAC0010,66062,2020,06,24,18.6,1,Y
IDCJAC0010,66062,2020,06,25,19.3,1,Y
IDCJAC0010,66062,2020,06,26,19.6,1,Y
IDCJAC0010,66062,2020,06,27,16.8,1,Y
IDCJAC0010,66062,2020,06,28,16.3,1,Y
IDCJAC0010,66062,2020,06,29,16.5,1,Y
IDCJAC0010,66062,2020,06,30,17.7,1,Y
IDCJAC0010,66062,2020,07,01,22.5,1,Y
IDCJAC0010,66062,2020,07,02,23.0,1,Y
IDCJAC0010,66062,2020,07,03,18.2,1,Y
IDCJAC0010,66062,2020,07,04,17.3,1,Y
IDCJAC0010,66062,2020,07,05,19.3,1,Y
IDCJAC0010,66062,2020,07,06,19.4,1,Y
IDCJAC0010,66062,2020,07,07,17.0,1,Y
IDCJAC0010,66062,2020,07,08,15.0,1,Y
IDCJAC0010,66062,2020,07,09,17.3,1,Y
IDCJAC0010,66062,2020,07,10,17.4,1,Y
IDCJAC0010,66062,2020,07,11,15.8,1,Y
IDCJAC0010,66062,2020,07,12,17.6,1,Y
IDCJAC0010,66062,2020,07,13,17.8,1,Y
IDCJAC0010,66062,2020,07,14,16.1,1,Y
IDCJAC0010,66062,2020,07,15,15.1,1,Y
IDCJAC0010,66062,2020,07,16,15.3,1,Y
IDCJAC0010,66062,2020,07,17,15.4,1,Y
IDCJAC0010,66062,2020,07,18,17.4,1,Y
IDCJAC0010,66062,2020,07,19,20.3,1,Y
IDCJAC0010,66062,2020,07,20,18.9,1,Y
IDCJAC0010,66062,2020,07,21,17.7,1,Y
IDCJAC0010,66062,2020,07,22,19.5,1,Y
IDCJAC0010,66062,2020,07,23,19.5,1,Y
IDCJAC0010,66062,2020,07,24,18.1,1,Y
IDCJAC0010,66062,2020,07,25,17.5,1,Y
IDCJAC0010,66062,2020,07,26,16.6,1,Y
IDCJAC0010,66062,2020,07,27,16.1,1,Y
IDCJAC0010,66062,2020,07,28,18.4,1,Y
IDCJAC0010,66062,2020,07,29,19.8,1,Y
IDCJAC0010,66062,2020,07,30,19.1,1,Y
IDCJAC0010,66062,2020,07,31,18.1,1,Y
IDCJAC0010,66062,2020,08,01,20.4,1,Y
IDCJAC0010,66062,2020,08,02,20.0,1,Y
IDCJAC0010,66062,2020,08,03,21.0,1,Y
IDCJAC0010,66062,2020,08,04,21.5,1,Y
IDCJAC0010,66062,2020,08,05,18.2,1,Y
IDCJAC0010,66062,2020,08,06,17.5,1,Y
IDCJAC0010,66062,2020,08,07,13.6,1,Y
IDCJAC0010,66062,2020,08,08,15.8,1,Y
IDCJAC0010,66062,2020,08,09,14.9,1,Y
IDCJAC0010,66062,2020,08,10,16.4,1,Y
IDCJAC0010,66062,2020,08,11,18.3,1,Y
IDCJAC0010,66062,2020,08,12,18.6,1,Y
IDCJAC0010,66062,2020,08,13,23.1,1,Y
IDCJAC0010,66062,2020,08,14,17.3,1,Y
IDCJAC0010,66062,2020,08,15,20.1,1,Y
IDCJAC0010,66062,2020,08,16,20.1,1,Y
IDCJAC0010,66062,2020,08,17,20.6,1,Y
IDCJAC0010,66062,2020,08,18,21.9,1,Y
IDCJAC0010,66062,2020,08,19,21.8,1,Y
IDCJAC0010,66062,2020,08,20,18.5,1,Y
IDCJAC0010,66062,2020,08,21,18.8,1,Y
IDCJAC0010,66062,2020,08,22,16.0,1,Y
IDCJAC0010,66062,2020,08,23,17.2,1,Y
IDCJAC0010,66062,2020,08,24,19.3,1,Y
IDCJAC0010,66062,2020,08,25,17.5,1,Y
IDCJAC0010,66062,2020,08,26,19.6,1,Y
IDCJAC0010,66062,2020,08,27,22.2,1,Y
IDCJAC0010,66062,2020,08,28,19.7,1,Y
IDCJAC0010,66062,2020,08,29,21.5,1,Y
IDCJAC0010,66062,2020,08,30,25.3,1,Y
