'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2012-10,2792,2227,1004,93,82,113,121,0,0,0,0
2012-11,2675,2483,966,116,93,152,273,0,0,0,0
2012-12,3402,3897,1904,138,160,134,180,0,0,0,0
2013-01,2047,2121,1056,62,148,200,283,0,0,0,0
2013-02,1853,2320,1512,81,51,247,430,100,0,0,0
2013-03,1349,2214,1388,67,62,181,490,100,0,0,0
2013-04,1510,2328,1809,32,199,70,313,100,0,0,0
2013-05,1571,2317,1932,115,130,174,325,96,0,0,0
2013-06,1287,2319,1761,88,117,223,284,78,0,0,0
2013-07,1124,2116,1877,182,115,129,311,0,0,0,0
2013-08,883,1717,1539,46,70,15,346,0,0,0,0
2013-09,832,1567,1458,63,42,81,352,160,0,0,0
2013-10,1016,2222,1869,138,80,120,624,93,0,0,0
2013-11,963,2029,1823,143,152,224,315,60,0,0,0
2013-12,857,1657,1848,123,62,143,474,126,100,0,0
2014-01,994,1709,1869,96,133,251,499,60,0,0,0
2014-02,1088,2184,2444,172,141,213,471,0,100,0,0
2014-03,889,2075,2403,153,123,89,504,272,400,0,0
2014-04,832,2151,2508,108,118,82,221,0,150,0,0
2014-05,904,2396,3056,200,100,246,435,268,0,0,0
2014-06,736,1982,2758,221,143,160,967,0,400,0,0
2014-07,819,2252,2903,285,156,126,788,222,100,0,0
2014-08,925,2787,3217,285,149,259,700,227,300,0,0
2014-09,1119,2938,3782,366,259,244,800,158,0,0,0
2014-10,1103,3175,4062,346,230,324,706,372,100,0,0
2014-11,825,2478,3472,276,188,286,1104,180,290,0,0
2014-12,703,2779,2989,347,253,355,740,468,500,0,0
2015-01,770,2529,2506,253,189,181,511,269,388,0,0
2015-02,775,2100,2351,302,153,325,733,383,0,0,0
2015-03,707,2207,2674,384,129,201,649,70,0,0,0
2015-04,625,2134,2301,327,224,305,543,150,0,0,0
2015-05,591,2180,3042,395,252,242,626,400,100,0,0
2015-06,574,1918,3401,519,194,294,756,162,200,0,0
2015-07,716,2073,3693,456,300,393,636,344,200,0,0
2015-08,556,1940,3461,556,248,339,489,758,400,0,0
2015-09,476,1790,3354,530,242,574,668,549,0,0,0
2015-10,574,2094,4015,620,221,205,996,599,299,0,0
2015-11,518,2151,3844,716,295,525,796,123,0,0,0
2015-12,443,1846,4052,611,255,541,241,845,200,0,0
2016-01,485,1677,3813,643,284,247,493,230,150,0,0
2016-02,647,1963,4446,674,262,376,602,185,0,0,0
2016-03,511,1946,4582,718,323,314,897,172,0,0,0
2016-04,503,2109,4116,904,362,406,607,497,0,10560,0
2016-05,455,2153,4522,1265,261,253,601,415,413,0,0
2016-06,407,1993,4216,953,311,421,757,727,0,0,0
2016-07,406,2041,4359,1237,219,343,780,362,0,0,0
2016-08,345,2311,4755,1138,307,374,1135,260,1751,0,0
2016-09,342,2421,5533,1194,404,481,852,743,292,0,0
2016-10,313,2072,5223,1323,361,400,966,1061,0,0,0
2016-11,338,2504,6108,1665,369,472,991,453,270,0,0
2016-12,385,2356,7041,1741,541,494,1433,1533,322,0,0
2017-01,326,2230,5947,1451,217,274,569,448,449,0,0
2017-02,336,2622,7398,1495,387,322,737,195,152,0,0
2017-03,402,2876,8650,1638,418,370,808,473,0,0,0
2017-04,247,2105,6093,1493,333,455,1304,686,455,0,0
2017-05,384,2630,7300,1901,646,638,1242,1529,0,0,0
2017-06,457,2681,7926,1324,692,618,1452,1441,374,0,0
2017-07,336,2458,7988,1117,364,559,1001,558,399,0,0
2017-08,359,2531,8975,1690,485,483,982,865,0,0,0
2017-09,353,2240,7469,1496,396,509,1536,567,198,0,0
2017-10,263,2561,8619,1966,312,622,1203,963,125,0,0
2017-11,289,2327,8809,2530,478,648,965,1475,785,0,0
2017-12,277,2509,8687,3065,590,733,2154,3119,0,0,0
2018-01,262,2511,7497,2915,484,753,607,790,0,0,0
2018-02,285,2367,7545,2892,653,862,1178,601,0,0,0
2018-03,283,2301,6703,3704,766,653,1411,619,187,0,0
2018-04,275,2065,6061,3288,508,774,1395,1201,200,0,0
2018-05,281,2243,5802,4588,708,749,929,962,487,0,0
2018-06,224,2069,3993,5399,812,729,1200,605,589,0,0
2018-07,257,2293,4460,6345,700,605,1252,276,2266,0,0
2018-08,190,2356,4787,6812,767,673,793,641,251,0,0
2018-09,285,2406,3627,7479,531,548,972,484,1187,0,0
2018-10,336,2371,4385,9160,637,756,1253,911,1226,0,0
2018-11,265,2460,4737,10966,664,710,1449,1645,1033,0,0
2018-12,171,1952,4120,10038,1027,1029,1604,2646,1002,0,0
2019-01,179,2355,3560,8232,548,396,680,299,1723,17500,0
2019-02,188,2172,4145,9312,552,618,796,837,338,11424,0
2019-03,162,2151,3637,9467,682,508,755,969,0,0,0
2019-04,131,1756,2926,9083,427,238,630,726,199,0,0
2019-05,95,2024,3261,11484,642,403,1125,1180,0,0,0
2019-06,106,1799,2450,8991,532,422,1046,1402,1602,0,0
2019-07,114,1773,3199,11854,397,557,863,1525,1106,0,0
2019-08,149,1764,3261,11799,685,504,1106,568,5244,0,0
2019-09,123,1690,3627,13121,787,782,956,1278,0,0,0
2019-10,106,1769,3137,14208,784,650,1336,1692,1503,0,0
2019-11,122,2085,3485,15400,1065,472,1657,1021,2846,7718,0
2019-12,59,1398,3247,17416,1021,765,1739,4380,353,0,0
2020-01,64,1515,2676,14340,639,388,392,697,1713,0,0
2020-02,60,1546,2722,15522,740,580,818,823,2111,0,0
2020-03,67,1639,2999,18795,935,535,1052,908,0,0,0
2020-04,55,1523,2429,15147,934,313,991,716,600,0,0
2020-05,43,1162,1848,15098,946,405,1275,795,0,0,0
2020-06,14,916,1362,10433,478,349,368,180,0,0,131965
