Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,32040,2008,10,25.9
IDCJAC0003,32040,2008,11,25.0
IDCJAC0003,32040,2008,12,25.9
IDCJAC0003,32040,2009,01,16.3
IDCJAC0003,32040,2009,02,17.2
IDCJAC0003,32040,2009,03,23.4
IDCJAC0003,32040,2009,04,19.8
IDCJAC0003,32040,2009,05,15.2
IDCJAC0003,32040,2009,06,16.3
IDCJAC0003,32040,2009,07,17.8
IDCJAC0003,32040,2009,08,20.2
IDCJAC0003,32040,2009,09,23.5
IDCJAC0003,32040,2009,10,26.4
IDCJAC0003,32040,2009,11,25.9
IDCJAC0003,32040,2009,12,26.5
IDCJAC0003,32040,2010,01,18.6
IDCJAC0003,32040,2010,02,21.3
IDCJAC0003,32040,2010,03,19.9
IDCJAC0003,32040,2010,04,16.7
IDCJAC0003,32040,2010,05,16.8
IDCJAC0003,32040,2010,06,15.9
IDCJAC0003,32040,2010,07,14.2
IDCJAC0003,32040,2010,08,16.6
IDCJAC0003,32040,2010,09,19.3
IDCJAC0003,32040,2010,10,23.2
IDCJAC0003,32040,2010,11,18.8
IDCJAC0003,32040,2010,12,20.7
IDCJAC0003,32040,2011,01,22.7
IDCJAC0003,32040,2011,02,20.0
IDCJAC0003,32040,2011,03,15.9
IDCJAC0003,32040,2011,04,17.8
IDCJAC0003,32040,2011,05,16.6
IDCJAC0003,32040,2011,06,15.1
IDCJAC0003,32040,2011,07,16.7
IDCJAC0003,32040,2011,08,19.1
IDCJAC0003,32040,2011,09,22.3
IDCJAC0003,32040,2011,10,22.8
IDCJAC0003,32040,2011,11,26.5
IDCJAC0003,32040,2011,12,23.7
IDCJAC0003,32040,2012,01,24.1
IDCJAC0003,32040,2012,02,22.2
IDCJAC0003,32040,2012,03,16.4
IDCJAC0003,32040,2012,04,19.8
IDCJAC0003,32040,2012,05,15.7
IDCJAC0003,32040,2012,06,15.2
IDCJAC0003,32040,2012,07,15.9
IDCJAC0003,32040,2012,08,20.9
IDCJAC0003,32040,2012,09,23.9
IDCJAC0003,32040,2012,10,26.3
IDCJAC0003,32040,2012,11,27.7
IDCJAC0003,32040,2012,12,27.8
IDCJAC0003,32040,2013,01,25.2
IDCJAC0003,32040,2013,02,24.2
IDCJAC0003,32040,2013,03,21.7
IDCJAC0003,32040,2013,04,18.1
IDCJAC0003,32040,2013,05,14.9
IDCJAC0003,32040,2013,06,15.7
IDCJAC0003,32040,2013,07,15.8
IDCJAC0003,32040,2013,08,20.8
IDCJAC0003,32040,2013,09,23.2
IDCJAC0003,32040,2013,10,24.4
