Category,Element,Residential Count,Business Count,Mixed Count,Residential Energy Consumption (kWh),Business Energy Consumption (kWh),No Controlled Load Count,Tariff 9000 Count,Tariff 9100 Count,Tariff 9000 and 9100 Count,Unit Count,Solar PV Count,Solar PV Installed Capacity,Count of Pools,Property Age <1980,Property Age 1980 to 1989,Property Age 1990 to 1999,Property Age >2000,Residential Quintile - Lowest,Residential Quintile - Low,Residential Quintile - Medium,Residential Quintile - High,Residential Quintile - Highest,Business Quintile - Lowest,Business Quintile - Low,Business Quintile - Medium,Business Quintile - High,Business Quintile - Highest
Postcode,4125,3365,198,5,21804774.87,14166702.56,1962,531,696,38,489,1265,5998.1,859,338,473,1035,1721,740,466,511,612,1041,52,31,41,33,46
Postcode,4127,10172,1825,4,59600899.81,79104578.16,3662,1099,4842,61,3290,3267,15044.57,2792,5764,3024,1748,1464,1567,2024,2121,2222,2242,336,400,431,387,275
Postcode,4128,6119,316,1,41383833.87,33641797.05,1830,1234,2499,87,1046,2505,10078.49,2265,1346,1461,2404,1225,575,883,1219,1560,1883,53,59,87,65,53
Postcode,4129,2442,749,3,15313454.07,38513258.82,1039,360,886,19,645,945,4867.36,613,578,858,509,1249,318,399,488,577,663,104,138,198,199,113
Postcode,4130,3061,89,5,24096029.6,9958069.717,1106,692,1035,63,312,1393,6144.7,1134,400,655,1207,893,244,369,521,726,1206,11,19,19,16,29
Postcode,4131,4185,527,2,23607889.18,58044507.04,2101,441,1320,20,1549,1106,4590.23,413,758,577,1133,2246,753,788,896,944,806,78,89,123,120,119
Postcode,4132,8664,333,1,52861451.42,60002462.82,3357,845,3671,12,1278,2753,11054.86,1055,1339,2356,1891,3412,1100,1469,1860,2156,2080,43,37,46,71,137
Postcode,4133,7221,269,6,41804573.25,20437353.57,4427,647,1835,29,1620,2307,9535.87,805,808,775,1668,4245,1358,1375,1428,1481,1585,71,46,46,52,60
Postcode,4151,8536,576,4,40455457.6,29664204.46,5250,238,2798,8,4838,1089,5329.93,829,4511,851,1347,2407,2668,2037,1512,1151,1172,85,96,114,174,111
Postcode,4152,18766,581,6,110874603.8,73144863.57,7756,2256,7543,155,5448,5031,20829.74,3533,6867,2382,4176,5928,3078,3518,3926,4057,4193,120,97,117,113,140
