POSTCODE,SUBURB,NMI#,INVERTER CAPACITY
4310,TEMPLIN,17,57
4310,WALLACES CREEK,20,77
4310,WOOLOOMAN,2,6
4311,ATKINSONS DAM,28,199
4311,BRIGHTVIEW,194,905
4311,BUARABA,24,122
4311,CHURCHABLE,55,444
4311,CLARENDON,46,268
4311,COOLANA,32,153
4311,COOMINYA,242,"1,113"
4311,LOCKYER WATERS,120,543
4311,LOWOOD,591,"2,759"
4311,MINDEN,278,"1,207"
4311,MOUNT TARAMPA,88,503
4311,PATRICK ESTATE,39,210
4311,PRENZLAU,80,348
4311,RIFLE RANGE,33,164
4311,TARAMPA,48,233
4311,WIVENHOE HILL,1,5
4312,BRYDEN,4,23
4312,COAL CREEK,18,75
4312,CROSSDALE,14,75
4312,ESK,425,"2,133"
4312,ESKDALE,9,45
4312,GLEN ESK,10,38
4312,MOOMBRA,4,25
4312,MOUNT HALLEN,127,603
4312,MURRUMBA,3,8
4312,REDBANK CREEK,25,108
4312,SOMERSET DAM,24,90
4313,BIARRA,49,262
4313,BRAEMORE,32,136
4313,CABOONBAH,2,33
4313,COOEEIMBARDI,3,15
4313,CRESSBROOK,53,348
4313,FULHAM,9,36
4313,GREGORS CREEK,19,108
4313,IVORY CREEK,13,57
4313,LOWER CRESSBROOK,6,67
4313,MOUNT BEPPO,31,127
4313,OTTABA,12,59
4313,SCRUB CREEK,2,10
4313,TOOGOOLAWAH,274,"1,189"
4313,YIMBUN,2,7
4314,AVOCA VALE,7,41
4314,COLINTON,10,49
4314,HARLIN,31,186
4314,LINVILLE,25,81
4314,MOORE,61,283
4314,MT STANLEY,2,10
4340,ASHWELL,17,76
4340,CALVERT,56,232
4340,EBENEZER,56,243
4340,GRANDCHESTER,80,330
4340,LANEFIELD,22,85
4340,LOWER MOUNT WALKER,36,243
4340,MERRYVALE,2,25
4340,MOORANG,12,113
4340,MOUNT FORBES,43,188
4340,MOUNT WALKER,17,95
4340,MT MORT,17,122
4340,MT WALKER WEST,3,15
4340,ROSEVALE,40,189
4340,ROSEWOOD,451,"1,849"
4340,TALLEGALLA,60,335
4340,THE BLUFF,5,18
4340,WOOLSHED,2,10
4341,BLENHEIM,55,218
4341,HATTON VALE,414,"2,048"
4341,KENSINGTON GROVE,468,"2,258"
4341,KENTVILLE,23,133
4341,LAIDLEY,480,"2,175"
4341,LAIDLEY CREEK WEST,33,142
4341,LAIDLEY HEIGHTS,312,"1,366"
4341,LAIDLEY NORTH,56,228
4341,LAIDLEY SOUTH,47,246
4341,MOUNT BERRYMAN,17,59
4341,MULGOWIE,41,276
4341,PLAINLAND,412,"2,014"
4341,REGENCY DOWNS,524,"2,322"
4341,SUMMERHOLM,106,450
4341,THORNTON,42,318
4341,TOWNSON,7,32
4342,CROWLEY VALE,20,169
4342,FOREST HILL,143,704
4342,GLEN CAIRN,23,140
4342,GLENORE GROVE,184,891
4342,LOCKROSE,112,481
4342,LYNFORD,4,23
4343,ADARE,186,946
4343,BLACK DUCK CREEK,2,8
4343,CAFFEY,9,56
4343,COLLEGE VIEW,9,35
4343,EAST HALDON,6,90
4343,FORDSDALE,12,38
4343,GATTON,919,"5,177"
4343,INGOLDSBY,10,99
4343,JUNCTION VIEW,6,61
4343,LAKE CLARENDON,64,376
4343,LAWES,2,"6,600"
4343,LEFTHAND BRANCH,21,87
4343,LOWER TENTHILL,44,427
4343,MORTON VALE,23,157
4343,MOUNT SYLVIA,13,124
4343,PLACID HILLS,171,779
4343,RINGWOOD,8,41
4343,ROCKSIDE,4,17
4343,ROPELEY,36,215
4343,SPRING CREEK,37,182
4343,UPPER TENTHILL,33,263
4343,VINEGAR HILL,10,68
4343,WOODBINE,3,58
4343,WOODLANDS,39,168
4344,CARPENDALE,18,101
4344,EGYPT,1,8
4344,FLAGSTONE CREEK,30,191
4344,HELIDON,179,948
4344,HELIDON SPA,84,494
4344,IREDALE,29,139
4344,LILYDALE,11,124
4344,LOCKYER,16,65
4344,REDWOOD,1,5
4344,ROCKMOUNT,11,67
4344,STOCKYARD,9,50
4344,UPPER FLAGSTONE,36,173
4346,MARBURG,214,"1,073"
4347,GRANTHAM,159,836
4347,MA MA CREEK,26,121
4347,MT WHITESTONE,25,170
4347,VERADILLA,28,172
4347,WINWILL,33,188
4350,BLUE MOUNTAIN HTS,8,24
4350,MIDDLE RIDGE,2,10
4350,PRINCE HENRY HEIGHTS,1,2
4352,BALLARD,15,68
4352,BLANCHVIEW,28,129
4352,DERRYMORE,9,33
4352,MURPHYS CREEK,119,516
4352,POSTMANS RIDGE,69,402
4352,SILVER RIDGE,31,139
4352,UPPER LOCKYER,99,473
4352,WITHCOTT,393,"1,992"
4359,WEST HALDON,7,53
4500,BRAY PARK,"1,610","6,463"
4500,BRENDALE,436,"5,425"
4500,CASHMERE,899,"4,467"
4500,CLEAR MOUNTAIN,137,761
4500,JOYNER,496,"2,350"
4500,STRATHPINE,"1,455","6,068"
4500,WARNER,"1,805","8,067"
4501,LAWNTON,803,"3,484"
4502,PETRIE,"1,407","5,821"
4503,DAKABIN,449,"1,975"
4503,GRIFFIN,"1,005","4,640"
4503,KALLANGUR,"2,651","11,015"
4503,KURWONGBAH,264,"1,377"
4503,MURRUMBA DOWNS,"1,608","6,921"
4503,WHITESIDE,132,590
4504,NARANGBA,"3,398","17,068"
4505,BURPENGARY,"2,527","11,666"
4505,BURPENGARY EAST,"1,599","7,571"
4506,MOORINA,78,407
4506,MORAYFIELD,"3,150","14,717"
4507,BANKSIA BEACH,"2,066","8,935"
4507,BELLARA,594,"2,068"
4507,BONGAREE,"1,571","6,226"
4507,WHITE PATCH,38,188
4507,WOORIM,328,"1,328"
4508,DECEPTION BAY,"2,649","11,204"
4509,MANGO HILL,"1,572","7,649"
4509,NORTH LAKES,"2,956","14,909"
4510,BEACHMERE,737,"3,307"
4510,BELLMERE,854,"3,573"
4510,CABOOLTURE,"3,980","24,710"
4510,CABOOLTURE SOUTH,845,"3,765"
4510,DONNYBROOK,158,779
4510,MELDALE,47,238
4510,MOODLU,59,297
4510,ROCKSBERG,47,295
4510,TOORBUL,205,840
4510,UPPER CABOOLTURE,841,"3,970"
4511,GODWIN BEACH,103,407
4511,NINGI,"1,066","4,945"
4511,SANDSTONE POINT,"1,014","3,383"
4512,BRACALBA,17,91
4512,WAMURAN,643,"3,553"
4512,WAMURAN BASIN,17,89
4514,BELLTHORPE,27,154
4514,CEDARTON,17,81
4514,COMMISSIONERS FLAT,3,10
4514,D'AGUILAR,288,"1,331"
4514,DELANEYS CREEK,282,"1,386"
4514,MOUNT ARCHER,71,357
4514,MOUNT DELANEY,8,31
4514,NEURUM,31,155
4514,STANMORE,77,442
4514,STONY CREEK,43,194
4514,VILLENEUVE,41,168
4514,WOODFORD,505,"2,463"
4515,HAZELDEAN,93,462
4515,JIMNA,11,48
4515,KILCOY,311,"1,378"
4515,MOUNT KILCOY,49,290
4515,ROYSTON,75,326
4515,SANDY CREEK,124,555
4515,SHEEP STATION CREEK,23,153
4515,WINYA,15,134
4515,WOOLMAR,90,645
4516,ELIMBAH,922,"5,092"
4517,BEERBURRUM,157,757
4518,GLASSHOUSE MOUNTAINS,"1,053","4,890"
4519,BEERWAH,"1,273","6,471"
4519,COOCHIN CREEK,17,124
4519,CROHAMHURST,45,195
4519,PEACHESTER,297,"1,349"
4520,ARMSTRONG CREEK,63,293
4520,CAMP MOUNTAIN,256,"1,291"
4520,CEDAR CREEK,123,648
4520,CLOSEBURN,110,614
4520,DRAPER,140,695
4520,ENOGGERA RESERVOIR,5,21
4520,HIGHVALE,350,"1,891"
4520,JOLLYS LOOKOUT,10,32
4520,KOBBLE CREEK,103,500
4520,MOUNT NEBO,48,167
4520,MOUNT SAMSON,123,755
4520,MT GLORIOUS,37,126
